quantity,name_short,name_long
4,Eidolon of the Great Revel,Eidolon of the Great Revel_61d94e0d-688f-5ac6-a856-ae51908dedc5.pdf
4,Goblin Guide,Goblin Guide_7864bde5-5b93-514e-8e77-447a96398e6b.pdf
4,Monastery Swiftspear,Monastery Swiftspear_440d32a6-efe1-5392-9fcf-5a23e1c72e77.pdf
4,Boros Charm,Boros Charm_28c6e265-2d3c-5e67-ba7c-01cfe8e42fc9.pdf
12,Lightning Bolt,Lightning Bolt_03cc5acf-6d3a-5d1c-8a0e-f51ee9122693.pdf
6,Lightning Helix,Lightning Helix_d44e2dae-a0ee-5fb6-abc9-7c95c72b0478.pdf
3,Searing Blaze,Searing Blaze_4e038342-7b39-5943-a020-66d735b5f1bd.pdf
2,Skullcrack,Skullcrack_d8167a2c-0042-515b-8b1b-29eec81e8d7c.pdf
4,Lava Spike,Lava Spike_b37623d2-c285-5e2d-8821-c58ab164a8e3.pdf
4,Rift Bolt,Rift Bolt_ebf62806-8340-5d43-919d-5d2fd0fe99e8.pdf
4,Skewer the Critics,Skewer the Critics_b07cee18-69c7-59b9-b4c3-b9afd07cca9a.pdf
4,Inspiring Vantage,Inspiring Vantage_271fae1c-c6fc-5a42-ab6c-5483c3ea433f.pdf
4,Sunbaked Canyon,Sunbaked Canyon_96cc2a60-2382-5ac0-b9cf-67b270352514.pdf
4,Arid Mesa,Arid Mesa_be3b2311-075c-5f68-bb6a-c4893527ba22.pdf
4,Death's Shadow,Death's Shadow_2b14982e-212f-5778-bc76-60953ea4bb14.pdf
2,Dismember,Dismember_56f0effb-a01b-5ee6-a9dd-4f7518b428d5.pdf
6,Fatal Push,Fatal Push_a5dd8396-709d-5279-980e-2b5021ced787.pdf
4,Gurmag Angler,Gurmag Angler_50345bd2-1194-5c24-ad2f-e41db961b9c4.pdf
6,Inquisition of Kozilek,Inquisition of Kozilek_196c3543-92a5-5a91-b73f-2437e1137e02.pdf
3,Kolaghan's Command,Kolaghan's Command_f20e7688-5d16-509b-81fc-eca26b1300b6.pdf
1,"Liliana, the Last Hope","Liliana, the Last Hope_63502ce7-0a22-5c6b-ba50-f0da858ac3e4.pdf"
1,Mausoleum Secrets,Mausoleum Secrets_8a4f3ef5-dd2e-5c7c-b241-676aa4d29433.pdf
4,Street Wraith,Street Wraith_fb2cfa2f-3bf3-5056-b6fe-d9d3acceb193.pdf
7,Stubborn Denial,Stubborn Denial_72035da2-eda1-5cb6-bc6d-46cb5b11ffe5.pdf
4,Thought Scour,Thought Scour_f6513e7f-eeef-5f19-a190-e73df7fa690a.pdf
6,Thoughtseize,Thoughtseize_950dd138-8a80-5c6e-9bf4-a5da94494e69.pdf
2,The Royal Scions,The Royal Scions_5d565c75-36f3-527c-9482-10feb9a7c537.pdf
3,Anger of the Gods,Anger of the Gods_68d36860-8ca6-5a3f-b413-95c8f792a62c.pdf
3,Celestial Colonnade,Celestial Colonnade_036928ca-8461-5331-b472-d428060b7d66.pdf
2,Cryptic Command,Cryptic Command_699ac242-9805-540e-829a-c9ae69553072.pdf
1,"Emrakul, the Aeons Torn","Emrakul, the Aeons Torn_f62cf7d1-ec12-5146-840f-00ce29677217.pdf"
1,Field of Ruin,Field of Ruin_8e993596-a7ed-51b8-85b5-db92693ab823.pdf
6,Flooded Strand,Flooded Strand_272d9c8a-3073-52dd-ae4d-c842311cc7c8.pdf
2,Gideon of the Trials,Gideon of the Trials_ba15790c-7d8c-5528-9de4-6faf60f2a981.pdf
1,Glacial Fortress,Glacial Fortress_c400307c-8bba-57bb-8ba9-20c531d1e0de.pdf
3,Hallowed Fountain,Hallowed Fountain_5549ede3-8626-5af9-a06b-fed719e20c2d.pdf
3,Mana Leak,Mana Leak_f32677d3-7d3d-5877-a39b-0692c1621fe6.pdf
4,"Nahiri, the Harbinger","Nahiri, the Harbinger_100534ab-99f1-57ab-a0a3-cca9911633cb.pdf"
2,Search for Azcanta,Search for Azcanta_2ae54370-11a5-51a8-9aa4-15378ca7f1c8.pdf
1,Sulfur Falls,Sulfur Falls_fbe0f795-3910-5cdb-a088-3a826b0fbfe5.pdf
4,Bloodbraid Elf,Bloodbraid Elf_8f7b27b1-4ab0-5769-b370-87048140f6bb.pdf
2,Dark Confidant,Dark Confidant_5d3d2948-8e86-5e2f-9881-6c5c429a63d4.pdf
2,Scavenging Ooze,Scavenging Ooze_36b8f259-422b-5a6a-a83d-154a7d4c60b5.pdf
1,Tireless Tracker,Tireless Tracker_555ea555-0aa9-5f34-b625-0eb3bee15f4d.pdf
2,Assassin's Trophy,Assassin's Trophy_cb2e190b-2424-5ed8-adfd-02cb06c9f642.pdf
4,Liliana of the Veil,Liliana of the Veil_654cdf16-5c43-5e64-9653-5849d8a6d460.pdf
3,Wrenn and Six,Wrenn and Six_433ca61e-174d-5ff3-ac46-411498e3f2de.pdf
1,Barren Moor,Barren Moor_8d98cc4b-5e0c-50f6-a612-90592b4b024f.pdf
4,Blackcleave Cliffs,Blackcleave Cliffs_9e69e9f7-c9cf-5300-84ad-77ca7bc98e50.pdf
2,Nurturing Peatland,Nurturing Peatland_969657bf-e73e-5143-bba3-c3c6bf713a89.pdf
2,Overgrown Tomb,Overgrown Tomb_6f4ba89b-faee-5d83-9dab-2ddecfa9bb33.pdf
1,Raging Ravine,Raging Ravine_9009ee4c-bab0-55f3-a74c-54e9cb9e0459.pdf
1,Stomping Ground,Stomping Ground_a0741f21-70b3-54f4-9089-d10ed590f400.pdf
4,Verdant Catacombs,Verdant Catacombs_deab807d-80e2-5268-8bae-62240182c32a.pdf
2,Wooded Foothills,Wooded Foothills_258cb7e1-6ba9-58d5-96df-e68f49890958.pdf
2,Brazen Borrower,Brazen Borrower_f66a9d9e-9c70-5fe2-86fb-83e7d1ab2fdb.pdf
